		
1232149	23	
1218802	26	
1207646	26	
1244217	30	
1207315	28	
1243206	29	
3755563	8	
1207292	16	
1207312	30	
1208425	20	
1238506	30	
1219061	17	
1233190	22	
1216903	22	
1232691	25	
1233884	28	
1243863	26	
1243545	26	
1210570	27	
1240304	25	
1208854	22	
1207502	22	
1226062	30	L
1226059	27	
1244255	29	
1224550	19	
1216453	24	
1207288	27	
1207358	21	
1207350	18	
1233577	28	
1208547	15	
1207501	19	
1232954	21	
1218795	29	
1224080	30	L
1225212	23	
1231552	30	
1213307	26	
1232338	23	
1208568	29	
1240297	30	
1207828	26	
1207409	28	
1232653	30	
1245874	20	
1240262	27	
1225509	22	
1234154	26	
1236988	29	
1225372	30	
1240270	30	
1225002	30	
1232684	13	
1232929	27	
1218758	25	
1208246	28	
1231807	26	
